country,year,manufacturing_pct_gdp
ABW,2011,4.20609398852294
ABW,2012,1.99163765537339
ABW,2013,3.26264307471188
ABW,2014,3.43935218464331
ABW,2015,3.58527899141791
ABW,2016,3.68902469279816
ABW,2017,3.73375379915049
ABW,2018,3.22501820314885
ABW,2019,2.56243337150077
ABW,2020,
ABW,2021,
AFG,2011,13.7791892429929
AFG,2012,12.4860851363953
AFG,2013,11.4998672561905
AFG,2014,11.477587555803
AFG,2015,11.4200060049012
AFG,2016,4.1141966128347
AFG,2017,3.53042246146676
AFG,2018,6.16017721650239
AFG,2019,7.04318108092508
AFG,2020,7.52811462924912
AFG,2021,8.49315681616916
AGO,2011,4.16780473313727
AGO,2012,4.40328953329052
AGO,2013,4.82734265180973
AGO,2014,4.76307157240238
AGO,2015,5.68514480307257
AGO,2016,6.75268074236392
AGO,2017,6.58054965735374
AGO,2018,6.05946923337998
AGO,2019,6.13744698434697
AGO,2020,7.06304272536463
AGO,2021,6.54051297580083
ALB,2011,5.66189767373199
ALB,2012,4.61445771380938
ALB,2013,5.05980135594677
ALB,2014,5.32578898520395
ALB,2015,5.67151941669391
ALB,2016,5.68442741798015
ALB,2017,6.15816688393972
ALB,2018,6.70811438467001
ALB,2019,6.96748875847972
ALB,2020,7.06941246497269
ALB,2021,6.91828890492335
AND,2011,3.66060401500449
AND,2012,3.72383504240788
AND,2013,3.83815615460753
AND,2014,3.67687366253974
AND,2015,3.70608985448457
AND,2016,3.74112485956452
AND,2017,3.74883272584872
AND,2018,3.61028448557391
AND,2019,3.67368951398301
AND,2020,3.73356933178986
AND,2021,4.06372177575712
ARE,2011,8.14829315970101
ARE,2012,8.08503637670565
ARE,2013,7.92574426833549
ARE,2014,8.11529453740231
ARE,2015,9.1758933520037
ARE,2016,9.32746091059342
ARE,2017,9.38138082343735
ARE,2018,8.92578979482029
ARE,2019,8.86735310804829
ARE,2020,10.2917800360059
ARE,2021,10.0017515004787
ARG,2011,15.8506983942663
ARG,2012,15.2168009115954
ARG,2013,15.0110542553443
ARG,2014,14.7727785491821
ARG,2015,14.1815854549835
ARG,2016,13.4880259708051
ARG,2017,12.8351683415363
ARG,2018,14.0601434041581
ARG,2019,13.5408390702829
ARG,2020,14.5905295089183
ARG,2021,15.558416982668
ARM,2011,
ARM,2012,9.42475853227752
ARM,2013,9.68257531952384
ARM,2014,9.66640553649803
ARM,2015,9.20617105938632
ARM,2016,10.2846499812967
ARM,2017,10.631126108104
ARM,2018,11.2719184358436
ARM,2019,11.7114918602964
ARM,2020,12.344909801717
ARM,2021,11.0315905634186
ASM,2011,
ASM,2012,
ASM,2013,
ASM,2014,
ASM,2015,
ASM,2016,
ASM,2017,
ASM,2018,
ASM,2019,
ASM,2020,
ASM,2021,
ATG,2011,2.91131081249043
ATG,2012,2.59628989810755
ATG,2013,2.73371243345954
ATG,2014,2.76939111001279
ATG,2015,2.80117673122202
ATG,2016,2.87556219652576
ATG,2017,2.9667812419118
ATG,2018,3.00838361795133
ATG,2019,3.01366334295742
ATG,2020,2.91298583673523
ATG,2021,2.7763322532374
AUS,2011,7.36479765734101
AUS,2012,7.0463332040636
AUS,2013,6.60397548643017
AUS,2014,6.36290253499428
AUS,2015,6.29227941742372
AUS,2016,6.07824048774544
AUS,2017,5.79305950257587
AUS,2018,5.76468001596052
AUS,2019,5.58629582518324
AUS,2020,5.60852173149521
AUS,2021,5.51269475535305
AUT,2011,17.1446473129533
AUT,2012,17.2564830895639
AUT,2013,17.1063898788247
AUT,2014,17.1867790689422
AUT,2015,17.242928730216
AUT,2016,17.6682251530651
AUT,2017,17.4427051605451
AUT,2018,17.3211161045372
AUT,2019,17.1022858668807
AUT,2020,16.5973264696294
AUT,2021,16.9780965394204
AZE,2011,3.98832610114819
AZE,2012,4.24121862424352
AZE,2013,4.21573682582242
AZE,2014,4.70701069744349
AZE,2015,4.99062155204119
AZE,2016,4.89266067799527
AZE,2017,4.69946458376577
AZE,2018,4.61981221595166
AZE,2019,5.00365096304835
AZE,2020,6.10156507265966
AZE,2021,6.41909290668132
BDI,2011,9.31899301444849
BDI,2012,8.83056773934016
BDI,2013,9.54581996033544
BDI,2014,10.1242098337419
BDI,2015,8.67655378836353
BDI,2016,9.36171645020186
BDI,2017,
BDI,2018,
BDI,2019,
BDI,2020,
BDI,2021,
BEL,2011,12.9499394580106
BEL,2012,12.6215764552248
BEL,2013,12.6643780300003
BEL,2014,12.5837894914118
BEL,2015,12.5677314710087
BEL,2016,12.2484083375363
BEL,2017,12.4458285747277
BEL,2018,12.343919956787
BEL,2019,12.413251241175
BEL,2020,12.0120090332978
BEL,2021,10.7453176059912
BEN,2011,11.7335701368448
BEN,2012,10.7121556949179
BEN,2013,10.9217698965752
BEN,2014,10.3866281769808
BEN,2015,10.0356700779199
BEN,2016,9.93126564010032
BEN,2017,9.62006825024772
BEN,2018,9.16246199522064
BEN,2019,9.86572844000364
BEN,2020,9.68791310326743
BEN,2021,9.47976782659619
BFA,2011,11.6121572602355
BFA,2012,10.3423290173696
BFA,2013,10.1697715451051
BFA,2014,10.9960425440905
BFA,2015,11.6602964471487
BFA,2016,11.120438157279
BFA,2017,10.2588368462682
BFA,2018,10.5252036549404
BFA,2019,10.4105983913211
BFA,2020,10.0313185254464
BFA,2021,9.8115542260696
BGD,2011,15.9967342498947
BGD,2012,15.9142206710142
BGD,2013,16.4420194729911
BGD,2014,16.6127076619157
BGD,2015,16.7886735625088
BGD,2016,20.3479480962979
BGD,2017,20.0750615064997
BGD,2018,20.8022959266315
BGD,2019,21.2079438820896
BGD,2020,20.5983315908994
BGD,2021,21.2356729879977
BGR,2011,
BGR,2012,
BGR,2013,
BGR,2014,
BGR,2015,
BGR,2016,
BGR,2017,
BGR,2018,
BGR,2019,
BGR,2020,
BGR,2021,
BHR,2011,15.0474932254141
BHR,2012,14.7645578720345
BHR,2013,14.6994276422304
BHR,2014,14.8385364760484
BHR,2015,17.1732865801602
BHR,2016,17.8416468874405
BHR,2017,18.1844891096654
BHR,2018,17.1706919683066
BHR,2019,17.0407022619674
BHR,2020,18.0468944226138
BHR,2021,20.528955608
BHS,2011,2.19156045658337
BHS,2012,2.94578560501474
BHS,2013,2.62509859751053
BHS,2014,2.68997002032057
BHS,2015,2.51801334829805
BHS,2016,3.11278746030259
BHS,2017,2.64940711139441
BHS,2018,2.20834192044896
BHS,2019,2.13042208939629
BHS,2020,2.05659657367797
BHS,2021,1.76798107116783
BIH,2011,10.9160127332036
BIH,2012,10.545110406553
BIH,2013,10.9371167904227
BIH,2014,10.940195399639
BIH,2015,11.1177914654178
BIH,2016,11.8138265173704
BIH,2017,12.563982327679
BIH,2018,12.7319523996539
BIH,2019,12.4800142540652
BIH,2020,12.6618393297438
BIH,2021,13.9863011532484
BLR,2011,26.422236326059
BLR,2012,24.7830279828939
BLR,2013,21.99575510837
BLR,2014,21.0873800866231
BLR,2015,20.643977310644
BLR,2016,20.151871004434
BLR,2017,21.6287778492265
BLR,2018,21.2581752779595
BLR,2019,21.639996437372
BLR,2020,21.486631801818
BLR,2021,22.7584959209403
BLZ,2011,6.98667250485756
BLZ,2012,7.47878914842359
BLZ,2013,7.37670643217317
BLZ,2014,7.05717292178183
BLZ,2015,6.96290554250929
BLZ,2016,6.81412373895188
BLZ,2017,6.64519260468605
BLZ,2018,6.19426578000654
BLZ,2019,6.18222166394507
BLZ,2020,6.71365983797146
BLZ,2021,6.52331081778935
BMU,2011,0.703756923948915
BMU,2012,0.597959796732238
BMU,2013,0.51712437029792
BMU,2014,0.480075734472843
BMU,2015,0.5141752075763
BMU,2016,0.431063531109314
BMU,2017,0.463659126815448
BMU,2018,0.487269749128734
BMU,2019,0.516039342813632
BMU,2020,0.33638021665575
BMU,2021,0.347157463000269
BOL,2011,10.3384637671598
BOL,2012,10.2142087811062
BOL,2013,9.92781122691066
BOL,2014,9.73832797515295
BOL,2015,10.1911908657997
BOL,2016,10.9842215186148
BOL,2017,10.4935084393229
BOL,2018,10.3431514961724
BOL,2019,10.4895035463436
BOL,2020,10.9578336602514
BOL,2021,10.7268498817295
BRA,2011,11.7837976689421
BRA,2012,10.675942306574
BRA,2013,10.4796122903756
BRA,2014,10.3370973963623
BRA,2015,10.5209374565841
BRA,2016,10.7864511156539
BRA,2017,10.7214980094842
BRA,2018,10.5284573768575
BRA,2019,10.3325005322006
BRA,2020,10.6929315691751
BRA,2021,11.9043730103232
BRB,2011,6.12464232323867
BRB,2012,5.65956225815187
BRB,2013,5.8483405922901
BRB,2014,5.57962076130521
BRB,2015,6.07918758073321
BRB,2016,6.01699869709046
BRB,2017,5.95004790759287
BRB,2018,5.70282023025494
BRB,2019,5.64389591533801
BRB,2020,5.38561144081641
BRB,2021,5.47452604568164
BRN,2011,1.22071585484908
BRN,2012,1.45830396709514
BRN,2013,1.14519241910596
BRN,2014,1.58675856271092
BRN,2015,1.6178324732843
BRN,2016,1.80933250875751
BRN,2017,1.76286616709727
BRN,2018,2.13432149853163
BRN,2019,2.32782256470564
BRN,2020,6.83209894472881
BRN,2021,9.67845068289214
BTN,2011,7.42869936332201
BTN,2012,7.95902921132288
BTN,2013,7.50187951394696
BTN,2014,7.40898615683305
BTN,2015,7.31166066657089
BTN,2016,6.81082961745625
BTN,2017,6.90939676067842
BTN,2018,8.74705663689415
BTN,2019,6.13116671407201
BTN,2020,4.92917104172725
BTN,2021,7.22418276349328
BWA,2011,7.73125571429564
BWA,2012,8.07371084190363
BWA,2013,7.99324227477702
BWA,2014,7.84878664502911
BWA,2015,7.24202388476034
BWA,2016,6.50323631121373
BWA,2017,6.17360420564063
BWA,2018,6.14746152595732
BWA,2019,6.09236991211812
BWA,2020,5.65903594237397
BWA,2021,5.22744172071473
CAF,2011,19.9685611230259
CAF,2012,23.6514687946965
CAF,2013,21.0613882528401
CAF,2014,17.4432276090289
CAF,2015,19.744921164342
CAF,2016,19.4541735859664
CAF,2017,18.4404200364989
CAF,2018,18.1315380967628
CAF,2019,17.7823211129395
CAF,2020,17.7270265677463
CAF,2021,18.7145668307096
CAN,2011,9.95539617251473
CAN,2012,10.0201674141654
CAN,2013,9.58849235825594
CAN,2014,9.42615082382699
CAN,2015,9.9754225443394
CAN,2016,9.92800413520787
CAN,2017,9.68457578828024
CAN,2018,9.86607158831886
CAN,2019,9.29963869581248
CAN,2020,9.01547651322254
CAN,2021,
CHE,2011,18.1944880804685
CHE,2012,17.7313707963592
CHE,2013,17.8005407661011
CHE,2014,17.5495253080258
CHE,2015,17.1186581567719
CHE,2016,17.3322132145222
CHE,2017,17.4910199452693
CHE,2018,17.6667499302868
CHE,2019,17.9235393262337
CHE,2020,17.7873157952398
CHE,2021,19.1226596298624
CHI,2011,
CHI,2012,
CHI,2013,
CHI,2014,
CHI,2015,
CHI,2016,0.864740857866344
CHI,2017,0.797519378082892
CHI,2018,0.796882229757576
CHI,2019,0.761514271755747
CHI,2020,0.810238406945744
CHI,2021,0.905889700131793
CHL,2011,9.90905378571426
CHL,2012,9.82773286975095
CHL,2013,9.98503250387017
CHL,2014,9.92046516190012
CHL,2015,10.3988647878915
CHL,2016,9.70592487556683
CHL,2017,9.16084501948169
CHL,2018,9.60421381910793
CHL,2019,8.96909548434668
CHL,2020,8.99628171941755
CHL,2021,8.52542771996868
CHN,2011,32.0647911864237
CHN,2012,31.528577865974
CHN,2013,30.6710080721744
CHN,2014,30.3964442055154
CHN,2015,28.9516705787219
CHN,2016,28.0694422377123
CHN,2017,28.10893687151
CHN,2018,27.8410111544177
CHN,2019,26.7747241232901
CHN,2020,26.2851657561442
CHN,2021,27.5471027442599
CIV,2011,9.2213557501251
CIV,2012,10.3182515272799
CIV,2013,11.8501855603565
CIV,2014,12.2006998127999
CIV,2015,11.4305990168412
CIV,2016,12.5430342990523
CIV,2017,11.2836181003932
CIV,2018,11.2909843422326
CIV,2019,12.3199684287316
CIV,2020,12.0519433981248
CIV,2021,13.3970815019321
CMR,2011,15.1890862079643
CMR,2012,15.532770064592
CMR,2013,15.2287357474586
CMR,2014,14.5140212331135
CMR,2015,14.3500581853268
CMR,2016,13.8415343692757
CMR,2017,13.7129455296811
CMR,2018,13.6850154316949
CMR,2019,12.8257802062343
CMR,2020,13.1809876103324
CMR,2021,13.2966086416538
COD,2011,15.3588924969631
COD,2012,15.3613486806409
COD,2013,15.3852331886029
