country,year,gdp_pc_usd
BGD,2016,265224515675.034
BGD,2017,293732446624.596
BGD,2018,321362752441.78
BGD,2019,351231654603.692
BGD,2020,373979442362.193
BGD,2021,416271647911.014
BGR,2011,57737040780.0157
BGR,2012,54288135058.7926
BGR,2013,55852123989.9504
BGR,2014,57157782909.9307
BGR,2015,50811995688.6771
BGR,2016,53964253211.84
BGR,2017,59309748166.1179
BGR,2018,66289266348.6504
BGR,2019,68631726289.2794
BGR,2020,70716821234.5967
BGR,2021,84417951260.8091
BHR,2011,29914680851.0638
BHR,2012,31963404255.3191
BHR,2013,33823324468.0851
BHR,2014,34772526595.7447
BHR,2015,32523297872.3404
BHR,2016,33884680851.0638
BHR,2017,37204813829.7872
BHR,2018,39567978723.4043
BHR,2019,40446808510.6383
BHR,2020,35837632978.7234
BHR,2021,40840212765.9574
BHS,2011,10070450000.0
BHS,2012,10720400000.0
BHS,2013,10395800000.0
BHS,2014,10974100000.0
BHS,2015,11671900000.0
BHS,2016,11745100000.0
BHS,2017,12236700000.0
BHS,2018,12615800000.0
BHS,2019,13016200000.0
BHS,2020,9958200000.0
BHS,2021,11368900000.0
BIH,2011,18644233537.1093
BIH,2012,17226735995.6905
BIH,2013,18179108530.5261
BIH,2014,18558733564.4692
BIH,2015,16404348871.4437
BIH,2016,17116926327.6247
BIH,2017,18326373366.1105
BIH,2018,20484053868.9246
BIH,2019,20482608755.379
BIH,2020,20226036564.4129
BIH,2021,23672712242.2149
BLR,2011,61762382327.9319
BLR,2012,65685890438.8922
BLR,2013,75527558966.4473
BLR,2014,78812805039.0743
BLR,2015,56454889146.6088
BLR,2016,47723545321.259
BLR,2017,54725302249.8088
BLR,2018,60031173807.7196
BLR,2019,64410122847.3508
BLR,2020,61371755326.2351
BLR,2021,69673747131.87
BLZ,2011,1827050000.0
BLZ,2012,1909400000.0
BLZ,2013,2032750000.0
BLZ,2014,2138250000.0
BLZ,2015,2193050000.0
BLZ,2016,2240200000.0
BLZ,2017,2266300000.0
BLZ,2018,2293250000.0
BLZ,2019,2388300000.0
BLZ,2020,2042850000.0
BLZ,2021,2420550000.0
BMU,2011,6312691000.0
BMU,2012,6378188000.0
BMU,2013,6465756000.0
BMU,2014,6413988000.0
BMU,2015,6654541000.0
BMU,2016,6899911000.0
BMU,2017,7142316000.0
BMU,2018,7225977000.0
BMU,2019,7423465000.0
BMU,2020,6887147000.0
BMU,2021,7286607000.0
BOL,2011,23963164696.592
BOL,2012,27084497481.9103
BOL,2013,30659338885.6729
BOL,2014,32996188012.5599
BOL,2015,33000198248.1292
BOL,2016,33941126200.0606
BOL,2017,37508642165.3366
BOL,2018,40287647930.4761
BOL,2019,40895322843.7851
BOL,2020,36629843805.0216
BOL,2021,40406111695.179
BRA,2011,2616156223977.47
BRA,2012,2465227803011.57
BRA,2013,2472819535742.73
BRA,2014,2456043727198.85
BRA,2015,1802212206904.68
BRA,2016,1795693482652.52
BRA,2017,2063514977334.32
BRA,2018,1916933898038.36
BRA,2019,1873288205186.45
BRA,2020,1476107231194.11
BRA,2021,1670647399034.67
BRB,2011,5342183800.0
BRB,2012,5271257500.0
BRB,2013,5361158350.0
BRB,2014,5365976700.0
BRB,2015,5288057750.0
BRB,2016,5330761500.0
BRB,2017,5517340450.0
BRB,2018,5629916200.0
BRB,2019,5788288000.0
BRB,2020,5168344450.0
BRB,2021,5275242050.0
BRN,2011,18524791070.6802
BRN,2012,19048443339.9457
BRN,2013,18094148099.4922
BRN,2014,17097797371.9718
BRN,2015,12930296852.4882
BRN,2016,11400266055.3232
BRN,2017,12128168046.7827
BRN,2018,13566908401.1864
BRN,2019,13469235348.2211
BRN,2020,12005799664.2691
BRN,2021,14006496614.3195
BTN,2011,1977728659.25621
BTN,2012,1973387228.03924
BTN,2013,1943696951.76613
BTN,2014,2089079570.67546
BTN,2015,2187815803.82922
BTN,2016,2357504760.5975
BTN,2017,2591358009.79792
BTN,2018,2583335721.20625
BTN,2019,2735683570.28851
BTN,2020,2457604334.15915
BTN,2021,2768802959.60794
BWA,2011,15110643612.1729
BWA,2012,13907464500.1489
BWA,2013,14271738933.2042
BWA,2014,15470088500.7414
BWA,2015,13530748844.505
BWA,2016,15082637184.0496
BWA,2017,16105155856.7708
BWA,2018,17031943186.1353
BWA,2019,16725908148.5481
BWA,2020,14960291105.9316
BWA,2021,18750946600.1423
CAF,2011,2437982705.12093
CAF,2012,2510126512.22831
CAF,2013,1691544110.18543
CAF,2014,1894813389.40325
CAF,2015,1695825714.19282
CAF,2016,1825018144.65595
CAF,2017,2072349972.6818
CAF,2018,2220979146.11241
CAF,2019,2221301351.43918
CAF,2020,2326720900.38047
CAF,2021,2516498412.46384
CAN,2011,1793326630174.52
CAN,2012,1828366481521.6
CAN,2013,1846597421834.98
CAN,2014,1805749878439.94
CAN,2015,1556508816217.14
CAN,2016,1527994741907.43
CAN,2017,1649265644244.09
CAN,2018,1725329192783.02
CAN,2019,1743725183672.52
CAN,2020,1655684730000.19
CAN,2021,2007472181464.15
CHE,2011,715888126682.396
CHE,2012,686420221557.99
CHE,2013,706234937370.968
CHE,2014,726537808338.0
CHE,2015,694118186379.628
CHE,2016,687895460902.713
CHE,2017,695200833086.499
CHE,2018,725568717468.001
CHE,2019,721369112726.724
CHE,2020,741999406005.627
CHE,2021,813408787222.499
CHI,2011,9649313947.21684
CHI,2012,9455340154.1218
CHI,2013,9594160920.26187
CHI,2014,10528493035.477
CHI,2015,10109968846.9524
CHI,2016,9169278192.53124
CHI,2017,9170079925.78986
CHI,2018,10026153344.8196
CHI,2019,10032440928.3488
CHI,2020,9439810775.67214
CHI,2021,11157002972.5829
CHL,2011,251382573885.594
CHL,2012,267024782480.28
CHL,2013,277395018837.366
CHL,2014,259560978231.552
CHL,2015,242450355827.827
CHL,2016,249344863933.461
CHL,2017,276154259987.103
CHL,2018,295857562991.709
CHL,2019,278285058719.466
CHL,2020,254042159309.311
CHL,2021,315515014838.539
CHN,2011,7551545703440.75
CHN,2012,8532185381680.59
CHN,2013,9570471111831.68
CHN,2014,10475624944355.2
CHN,2015,11061572618578.7
CHN,2016,11233313730348.7
CHN,2017,12310491333980.9
CHN,2018,13894907857880.6
CHN,2019,14279968506271.7
CHN,2020,14687744162801.0
CHN,2021,17820459508852.2
CIV,2011,36693710801.3976
CIV,2012,36302302877.2977
CIV,2013,42760235484.6093
CIV,2014,48843005613.7091
CIV,2015,45815005169.2651
CIV,2016,48407761036.8238
CIV,2017,52512343996.69
CIV,2018,58522477786.6889
CIV,2019,60382894697.3557
CIV,2020,63027852805.4204
CIV,2021,72794636653.7793
CMR,2011,30630910495.217
CMR,2012,30155062329.2821
CMR,2013,33728621180.3231
CMR,2014,36386544706.0806
CMR,2015,32210233020.4569
CMR,2016,33814337044.3765
CMR,2017,36098547033.1655
CMR,2018,39955552189.795
CMR,2019,39667757527.6578
CMR,2020,40773241177.0505
CMR,2021,45011937346.8384
COD,2011,25839749199.3671
COD,2012,29306235285.2597
COD,2013,32679745048.4427
COD,2014,35909040925.9375
COD,2015,37917706497.1793
COD,2016,37134801555.3322
COD,2017,38019264794.8263
COD,2018,47568210009.8172
COD,2019,51775829877.2088
COD,2020,48716961860.1325
COD,2021,55328482783.5393
