country,year,tertiary_enrolment_pct
ABW,2011,37.1292991638184
ABW,2012,38.0075416564941
ABW,2013,16.9757099151611
ABW,2014,17.7213401794434
ABW,2015,16.781810760498
ABW,2016,17.5637798309326
ABW,2017,
ABW,2018,
ABW,2019,
ABW,2020,
ABW,2021,
AFG,2011,3.75560998916626
AFG,2012,
AFG,2013,
AFG,2014,8.31087017059326
AFG,2015,
AFG,2016,
AFG,2017,
AFG,2018,9.96378993988037
AFG,2019,
AFG,2020,10.8584403991699
AFG,2021,
AGO,2011,6.3326301574707
AGO,2012,
AGO,2013,9.11637020111084
AGO,2014,
AGO,2015,8.68379020690918
AGO,2016,9.66034030914307
AGO,2017,9.65568923950195
AGO,2018,9.35254287719727
AGO,2019,11.0613594055176
AGO,2020,
AGO,2021,
ALB,2011,49.3997001647949
ALB,2012,58.6214218139648
ALB,2013,63.8440589904785
ALB,2014,65.5507125854492
ALB,2015,61.9608497619629
ALB,2016,58.4884796142578
ALB,2017,58.0177803039551
ALB,2018,56.0802993774414
ALB,2019,61.4085083007812
ALB,2020,61.5853004455566
ALB,2021,59.9698715209961
AND,2011,
AND,2012,13.2810401916504
AND,2013,14.7599496841431
AND,2014,13.7001399993896
AND,2015,13.8819599151611
AND,2016,15.1089096069336
AND,2017,15.4369401931763
AND,2018,15.3940296173096
AND,2019,15.0
AND,2020,15.0982704162598
AND,2021,15.204270362854
ARE,2011,
ARE,2012,
ARE,2013,
ARE,2014,
ARE,2015,
ARE,2016,
ARE,2017,
ARE,2018,
ARE,2019,56.5684204101562
ARE,2020,55.7540512084961
ARE,2021,
ARG,2011,77.4296112060547
ARG,2012,78.4559097290039
ARG,2013,78.7686614990234
ARG,2014,81.1694107055664
ARG,2015,83.762580871582
ARG,2016,86.6178817749023
ARG,2017,89.2329406738281
ARG,2018,90.9728317260742
ARG,2019,95.0775527954102
ARG,2020,99.266227722168
ARG,2021,107.130661010742
ARM,2011,47.8231010437012
ARM,2012,41.4842185974121
ARM,2013,41.6240310668945
ARM,2014,44.411018371582
ARM,2015,45.4674301147461
ARM,2016,51.7460098266602
ARM,2017,53.5907592773438
ARM,2018,56.1650505065918
ARM,2019,53.3068199157715
ARM,2020,53.3061294555664
ARM,2021,58.7563095092773
ASM,2011,
ASM,2012,
ASM,2013,
ASM,2014,
ASM,2015,
ASM,2016,
ASM,2017,
ASM,2018,
ASM,2019,
ASM,2020,
ASM,2021,
ATG,2011,15.0042104721069
ATG,2012,24.93044090271
ATG,2013,
ATG,2014,
ATG,2015,
ATG,2016,
ATG,2017,
ATG,2018,
ATG,2019,
ATG,2020,
ATG,2021,
AUS,2011,
AUS,2012,
AUS,2013,
AUS,2014,
AUS,2015,119.679389953613
AUS,2016,119.682777404785
AUS,2017,109.993309020996
AUS,2018,103.322090148926
AUS,2019,109.759559631348
AUS,2020,110.139221191406
AUS,2021,112.688293457031
AUT,2011,77.2625122070312
AUT,2012,79.5471267700195
AUT,2013,80.9616012573242
AUT,2014,81.0195693969727
AUT,2015,82.2563095092773
AUT,2016,82.8496932983398
AUT,2017,83.8392562866211
AUT,2018,85.8698883056641
AUT,2019,86.3234329223633
AUT,2020,88.7071990966797
AUT,2021,93.940071105957
AZE,2011,19.647310256958
AZE,2012,20.4384593963623
AZE,2013,21.4404296875
AZE,2014,23.1597309112549
AZE,2015,25.4832000732422
AZE,2016,27.2368602752686
AZE,2017,28.4670600891113
AZE,2018,28.9724903106689
AZE,2019,32.9221801757812
AZE,2020,36.3854713439941
AZE,2021,39.0096015930176
BDI,2011,
BDI,2012,3.84211850166321
BDI,2013,4.62864255905151
BDI,2014,3.86162900924683
BDI,2015,5.39195775985718
BDI,2016,4.09006786346436
BDI,2017,4.43720865249634
BDI,2018,4.69854831695557
BDI,2019,4.20048999786377
BDI,2020,5.22371053695679
BDI,2021,6.28677225112915
BEL,2011,67.7034072875977
BEL,2012,69.7490615844727
BEL,2013,71.7841110229492
BEL,2014,74.0397262573242
BEL,2015,76.423942565918
BEL,2016,77.2435073852539
BEL,2017,80.7738189697266
BEL,2018,79.1237487792969
BEL,2019,79.3044815063477
BEL,2020,79.4996032714844
BEL,2021,82.6882019042969
BEN,2011,12.2822198867798
BEN,2012,13.3533802032471
BEN,2013,15.3102397918701
BEN,2014,15.196590423584
BEN,2015,12.9073896408081
BEN,2016,12.3617095947266
BEN,2017,11.7388401031494
BEN,2018,12.0070600509644
BEN,2019,10.7973299026489
BEN,2020,10.8024797439575
BEN,2021,10.2315101623535
BFA,2011,3.94350004196167
BFA,2012,4.3672399520874
BFA,2013,4.60237979888916
BFA,2014,4.92263984680176
BFA,2015,4.9262900352478
BFA,2016,5.42630004882812
BFA,2017,5.85665988922119
BFA,2018,6.34666013717651
BFA,2019,6.93696022033691
BFA,2020,7.6837100982666
BFA,2021,9.36093997955322
BGD,2011,13.5724172592163
BGD,2012,13.667537689209
BGD,2013,13.6510944366455
BGD,2014,13.6534414291382
BGD,2015,15.5907163619995
BGD,2016,17.4021797180176
BGD,2017,18.5305080413818
BGD,2018,19.70263671875
BGD,2019,22.8052139282227
BGD,2020,22.538854598999
BGD,2021,23.40016746521
BGR,2011,59.8246803283691
BGR,2012,62.1616516113281
BGR,2013,68.2013397216797
BGR,2014,72.981559753418
BGR,2015,78.2999572753906
BGR,2016,80.6399612426758
BGR,2017,81.2245864868164
BGR,2018,83.134880065918
BGR,2019,84.7503128051758
BGR,2020,85.5331115722656
BGR,2021,85.3017501831055
BHR,2011,46.54248046875
BHR,2012,47.3633117675781
BHR,2013,42.9303894042969
BHR,2014,44.1516189575195
BHR,2015,43.6383781433105
BHR,2016,43.6653099060059
BHR,2017,45.1864395141602
BHR,2018,48.5386581420898
BHR,2019,53.6918601989746
BHR,2020,56.6339988708496
BHR,2021,70.7630310058594
BHS,2011,
BHS,2012,
BHS,2013,
BHS,2014,
BHS,2015,
BHS,2016,
BHS,2017,
BHS,2018,
BHS,2019,
BHS,2020,
BHS,2021,
BIH,2011,39.7756309509277
BIH,2012,41.8755912780762
BIH,2013,47.2628288269043
BIH,2014,48.9852485656738
BIH,2015,48.6234397888184
BIH,2016,48.668140411377
BIH,2017,46.4159202575684
BIH,2018,43.1571083068848
BIH,2019,41.597038269043
BIH,2020,40.8813400268555
BIH,2021,43.5776786804199
BLR,2011,91.2559967041016
BLR,2012,98.5973968505859
BLR,2013,101.424392700195
BLR,2014,99.8547286987305
BLR,2015,98.0328598022461
BLR,2016,94.7553405761719
BLR,2017,91.3261489868164
BLR,2018,84.5396423339844
BLR,2019,80.1720199584961
BLR,2020,76.8908920288086
BLR,2021,73.9591369628906
BLZ,2011,21.4217891693115
BLZ,2012,23.8754291534424
BLZ,2013,23.8531093597412
BLZ,2014,23.8641395568848
BLZ,2015,23.273889541626
BLZ,2016,24.3196296691895
BLZ,2017,24.7719898223877
BLZ,2018,24.6455898284912
BLZ,2019,25.0688591003418
BLZ,2020,25.7016506195068
BLZ,2021,23.5184001922607
BMU,2011,38.6973190307617
BMU,2012,38.2749290466309
BMU,2013,37.1384582519531
BMU,2014,35.0966110229492
BMU,2015,31.9435291290283
BMU,2016,
BMU,2017,22.4178009033203
BMU,2018,22.8644790649414
BMU,2019,
BMU,2020,
BMU,2021,
BOL,2011,
BOL,2012,
BOL,2013,
BOL,2014,
BOL,2015,
BOL,2016,
BOL,2017,
BOL,2018,
BOL,2019,
BOL,2020,
BOL,2021,
BRA,2011,
BRA,2012,43.2308502197266
BRA,2013,44.3393707275391
BRA,2014,47.1568717956543
BRA,2015,48.4340400695801
BRA,2016,48.3333396911621
BRA,2017,50.0267486572266
BRA,2018,51.1916885375977
BRA,2019,52.6240615844727
BRA,2020,54.5727996826172
BRA,2021,56.8306198120117
BRB,2011,65.0382232666016
BRB,2012,
BRB,2013,
BRB,2014,
BRB,2015,
BRB,2016,
BRB,2017,
BRB,2018,
BRB,2019,
BRB,2020,
BRB,2021,
BRN,2011,17.1019992828369
BRN,2012,22.1413593292236
BRN,2013,24.0158290863037
BRN,2014,31.5348491668701
BRN,2015,30.813289642334
