country,year,age1564_pct
ABW,2011,69.9067151246274
ABW,2012,69.9961184511146
ABW,2013,69.911025522268
ABW,2014,69.6785895668577
ABW,2015,69.3250915443276
ABW,2016,68.8920853714879
ABW,2017,68.4348414128373
ABW,2018,67.9734478352375
ABW,2019,67.5216668534499
ABW,2020,67.1686817100479
ABW,2021,66.9699139069153
AFG,2011,49.6380620251503
AFG,2012,50.0567833137882
AFG,2013,50.4888449766978
AFG,2014,50.9303980666568
AFG,2015,51.3839679093288
AFG,2016,51.843053949596
AFG,2017,52.2756584397329
AFG,2018,52.6732723441847
AFG,2019,53.0470145105464
AFG,2020,53.4051619316696
AFG,2021,53.7393252349501
AGO,2011,52.1221809832928
AGO,2012,52.110643381122
AGO,2013,52.0969806945144
AGO,2014,52.0696201188262
AGO,2015,52.0344151201028
AGO,2016,52.0323838444687
AGO,2017,52.0639319428822
AGO,2018,52.10972051613
AGO,2019,52.1792554940819
AGO,2020,52.2548406993395
AGO,2021,52.3460455098597
ALB,2011,67.8454159774467
ALB,2012,68.198600414295
ALB,2013,68.3856722403311
ALB,2014,68.4466928018412
ALB,2015,68.4632957891861
ALB,2016,68.473513186339
ALB,2017,68.411252681582
ALB,2018,68.2552118334715
ALB,2019,68.0076096803147
ALB,2020,67.7110196944345
ALB,2021,67.3665631972931
AND,2011,71.8145353097721
AND,2012,71.8021969440612
AND,2013,71.7050010971693
AND,2014,71.665513921098
AND,2015,71.755561251706
AND,2016,71.8882262075463
AND,2017,72.0474495848161
AND,2018,72.2938452941646
AND,2019,72.4577794922424
AND,2020,72.3830447143965
AND,2021,72.3614948285873
ARE,2011,81.7491567206735
ARE,2012,81.7319747580354
ARE,2013,81.6884573970865
ARE,2014,81.6610900166076
ARE,2015,81.6642098864586
ARE,2016,81.7037621944191
ARE,2017,81.7573549214794
ARE,2018,81.7897488678028
ARE,2019,81.8226037478217
ARE,2020,81.8563407363944
ARE,2021,81.87240475274
ARG,2011,63.9901889403356
ARG,2012,64.0423079024418
ARG,2013,64.0825562537135
ARG,2014,64.0920281103568
ARG,2015,64.0810849650845
ARG,2016,64.0835958950498
ARG,2017,64.1137437299744
ARG,2018,64.1630568429568
ARG,2019,64.2701694847154
ARG,2020,64.5074745533578
ARG,2021,64.8426321239199
ARM,2011,69.9991499247162
ARM,2012,69.877939557455
ARM,2013,69.6400159040937
ARM,2014,69.3383433330299
ARM,2015,68.961951131008
ARM,2016,68.5339571072627
ARM,2017,68.1111272919884
ARM,2018,67.836738214504
ARM,2019,67.6540902691366
ARM,2020,67.4875319646095
ARM,2021,67.3509680096337
ASM,2011,61.903070379175
