Series Name,Series Code,Country Name,Country Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
GDP (current US$),NY.GDP.MKTP.CD,Indonesia,IDN,892969104529.572,917869913364.917,912524136718.018,890814755511.014,860854232717.718,931877364034.196,1015618744168.08,1042271532953.49,1119099871385.79,1059054842711.55,1186509691070.97
GDP (current US$),NY.GDP.MKTP.CD,"Iran, Islamic Rep.",IRN,629082257472.368,644019315003.54,500399839839.877,462284793280.825,409191686496.677,459042684192.698,489168731811.147,398880231367.268,333519146339.191,262186179355.944,383436202446.695
GDP (current US$),NY.GDP.MKTP.CD,Iraq,IRQ,185749664444.444,218002476129.472,234637675128.645,228415656174.957,166774104959.102,166743557747.671,187217660050.676,227367469034.031,233636097800.338,180898797516.874,209691945713.103
GDP (current US$),NY.GDP.MKTP.CD,Ireland,IRL,241337364609.738,227270922957.327,243301556084.989,266787238499.03,302391428540.035,305733136180.907,348532394023.595,395461216460.418,407124824064.995,436555518400.451,531306516907.984
GDP (current US$),NY.GDP.MKTP.CD,Isle of Man,IMN,6565667052.79737,6690228371.66909,7001175622.71266,7708454412.32126,7084800892.22284,6846377563.00683,6979788333.50279,7491649455.92717,7314967866.28289,6684225641.02564,7931193222.06405
GDP (current US$),NY.GDP.MKTP.CD,Israel,ISR,267406179630.431,262917911696.944,297634145181.876,314090281098.682,302722655203.465,320958936788.842,357227098125.658,375149611117.199,399651065197.871,411728563086.632,489708278893.053
GDP (current US$),NY.GDP.MKTP.CD,Italy,ITA,2306974020278.21,2097929495121.68,2153225581941.46,2173255507985.84,1845428048839.1,1887111188176.93,1970720904584.71,2099435266458.67,2019606796583.53,1907481094079.23,2179207773596.09
GDP (current US$),NY.GDP.MKTP.CD,Jamaica,JAM,14444661522.1463,14807086555.5283,14264205152.6126,13899217721.6818,14188936958.4343,14077096714.1279,14808985171.3441,15730792835.5811,15830766570.7266,13812421803.4084,14657586127.0331
GDP (current US$),NY.GDP.MKTP.CD,Japan,JPN,6233147172341.35,6272362996105.03,5212328181166.18,4896994405353.29,4444930651964.18,5003677627544.24,4930837369151.42,5040880939324.86,5117993853016.51,5055587093501.59,5034620784584.98
GDP (current US$),NY.GDP.MKTP.CD,Jordan,JOR,29524149154.9296,31634561690.1408,34454440140.8451,36847643521.1268,38587017887.3239,39892551126.7606,41608435915.493,43370860704.2254,44503006338.0282,43700383098.5916,46296100140.8451
GDP (current US$),NY.GDP.MKTP.CD,Kazakhstan,KAZ,192626464617.071,207998568865.789,236634603409.089,221415613595.469,184388404706.042,137278320084.171,166805788827.233,179339977690.485,181667184854.501,171082365861.423,197112255360.612
GDP (current US$),NY.GDP.MKTP.CD,Kenya,KEN,46869473150.61,56396704671.5777,61671440407.8387,68285796514.2896,70120446896.8359,74815144163.8931,82036510877.2599,92202979985.2863,100378436207.371,100657505750.545,109703658904.994
GDP (current US$),NY.GDP.MKTP.CD,Kiribati,KIR,195970104.356667,207001557.767135,201730847.75865,200287275.559653,191559398.175292,206467834.045145,222875724.653979,233514703.710292,216985362.338171,223123620.597516,289339292.157301
GDP (current US$),NY.GDP.MKTP.CD,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,"Korea, Rep.",KOR,1253289537500.81,1278046536287.01,1370632955321.2,1484488526271.8,1466038936206.43,1499679823909.61,1623074183501.9,1725373496825.43,1651422932447.77,1644312831906.17,1818432106880.04
GDP (current US$),NY.GDP.MKTP.CD,Kosovo,XKX,6341613609.97976,6163484244.63408,6735328609.6594,7074394734.88431,6295848422.71573,6682677289.98994,7180764703.35718,7878759714.82322,7899737577.47286,7717145217.81247,9413403724.01899
GDP (current US$),NY.GDP.MKTP.CD,Kuwait,KWT,154039231299.128,174047662555.419,174168116687.215,162650450784.686,114585555830.916,109406674087.947,120687539675.517,138646316321.596,140856394870.02,111045470461.207,148459291453.471
GDP (current US$),NY.GDP.MKTP.CD,Kyrgyz Republic,KGZ,6197765984.28468,6605142884.36215,7335033800.59056,7468102412.68237,6678177511.66313,6813095379.1187,7702938379.42036,8271106235.41552,9371275264.36735,8270468614.24051,9249133946.26531
GDP (current US$),NY.GDP.MKTP.CD,Lao PDR,LAO,8750104617.17303,10192846339.4029,11983252626.5452,13279245886.3854,14426380125.6488,15912501722.6143,17071155481.4994,18141641089.7963,18740561512.5555,18981805250.2424,18827148530.9347
GDP (current US$),NY.GDP.MKTP.CD,Latvia,LVA,26575547900.8247,27116149948.6683,29152128167.8438,30277203767.4058,26344565876.8902,27117105059.5075,29391059767.4259,33247935477.3576,33099503950.847,33379927434.6149,38185125732.9451
GDP (current US$),NY.GDP.MKTP.CD,Lebanon,LBN,39927125961.5257,44016799515.7546,46880103080.597,48095213746.6003,49929337836.8159,51147308774.1294,53027680685.9038,54901519155.5556,51605959131.2741,31712128253.7961,23131941556.7843
GDP (current US$),NY.GDP.MKTP.CD,Lesotho,LSO,2579409619.96722,2477702216.26888,2367112931.642,2441063054.05792,2359686724.53829,2114426452.2019,2306741672.29006,2556247291.99785,2390702295.82777,2053699870.07191,2412130056.55851
GDP (current US$),NY.GDP.MKTP.CD,Liberia,LBR,2398000000,2791614000,3177198100,3225652000,3227075700,3398419600,3390703400,3422754800,3319596500,3176126300,3513049500
GDP (current US$),NY.GDP.MKTP.CD,Libya,LBY,48169263294.1007,92540938129.1315,75351107029.0605,57372355592.022,48717501321.3052,49912073701.298,67157452181.7738,76686029772.1483,69254496471.6938,46854285440.642,35217995647.2862
GDP (current US$),NY.GDP.MKTP.CD,Liechtenstein,LIE,5739706004.89616,5456102482.28614,6391708310.67727,6657526979.72277,6268515276.17441,6237302033.50132,6474308717.85289,6692620691.84146,6436467007.11932,6405870210.32293,7710380085.92257
GDP (current US$),NY.GDP.MKTP.CD,Lithuania,LTU,43186501862.7907,42709372066.8627,46303660422.0434,48306546656.9281,41540954817.2039,42970749245.0336,47756764508.446,54261795148.5372,55122066225.796,57412038533.2718,67037321008.9679
GDP (current US$),NY.GDP.MKTP.CD,Luxembourg,LUX,61696281326.2453,59776383527.3602,65203276466.9763,68804811897.6445,60071584216.1375,62216885435.9488,65712180342.9836,71000359760.4611,69890505323.5842,73699366700.2134,85584105993.8746
GDP (current US$),NY.GDP.MKTP.CD,"Macao SAR, China",MAC,36845888757.1886,43189721376.9846,51536595089.2793,54902831793.5018,45048190598.3249,45070808688.9611,50383871120.8733,55190661339.7796,55082293844.1008,25343525935.8358,30969334705.0515
GDP (current US$),NY.GDP.MKTP.CD,Madagascar,MDG,11551819617.874,11578975061.9479,12423555455.3853,12522957399.2281,11323020701.3017,11848613858.442,13176313593.5509,13760033282.2925,14104664678.5063,13051441203.9474,14554754116.5427
GDP (current US$),NY.GDP.MKTP.CD,Malawi,MWI,11648142958.3651,8773203178.16512,8031571927.62055,8801326169.14547,9219474379.31534,7909868618.46366,8943543793.5839,9879231591.52434,11051865579.8121,11769313597.8545,12378129750.9872
GDP (current US$),NY.GDP.MKTP.CD,Malaysia,MYS,297951668674.835,314443047642.111,323276235524.415,338066095097.254,301355266964.947,301256033870.334,319109094160.343,358788845712.53,365177721021.516,337456163961.211,373784823672.946
GDP (current US$),NY.GDP.MKTP.CD,Maldives,MDV,2774350240.04918,2886163997.20531,3295009237.50107,3697353039.20043,4129505319.12921,4409942623.85538,4816426256.52914,5404344162.69888,5726094799.37709,3712604583.36665,5252457369.55218
GDP (current US$),NY.GDP.MKTP.CD,Mali,MLI,12995112690.2596,12442035339.1049,13242690786.0938,14364937124.0727,13104764378.326,14026048335.7047,15365713048.1993,17070867589.9055,17280250810.0321,17465392764.3706,19309463508.0377
GDP (current US$),NY.GDP.MKTP.CD,Malta,MLT,9789361703.69731,9609532088.88683,10796782637.51,11888032872.432,11340795041.8065,12025782834.3596,14161366723.6779,16153779511.1559,16337793530.7788,16385919535.6742,19718565605.433
GDP (current US$),NY.GDP.MKTP.CD,Marshall Islands,MHL,172300000,180700000,186400000,186000000,183700000,201800000,213700000,220000000,232900000,241800000,258900000
GDP (current US$),NY.GDP.MKTP.CD,Mauritania,MRT,6764627745.9033,6728208836.22143,7223071097.08417,6592537781.81518,6166863896.68677,6398747592.13185,6800135898.28827,7473550557.07378,7894764885.82312,8260752385.23089,9222536364.01272
GDP (current US$),NY.GDP.MKTP.CD,Mauritius,MUS,11518413429.9684,11668696396.7887,12292974141.4044,13074129952.0532,12007291045.6489,12594155464.4136,13713506130.6081,14735695930.9727,14436346979.6355,11408106446.3144,11484348857.8529
GDP (current US$),NY.GDP.MKTP.CD,Mexico,MEX,1229013703416.76,1255110424817.79,1327436290282.67,1364507717614.13,1213294467716.88,1112233497452.7,1190721475906,1256300182879.73,1304106203694.81,1121064767261.88,1316569466932.59
GDP (current US$),NY.GDP.MKTP.CD,"Micronesia, Fed. Sts.",FSM,311301600,327248700,317214400,319271200,316489900,325000000,359000000,392000000,394000000,372000000,390000000
GDP (current US$),NY.GDP.MKTP.CD,Moldova,MDA,8414352020.49442,8709138634.82921,9496717875.51932,9402090137.7423,7797667196.73087,7980917075.7748,9514404016.20949,11252353420.8798,11736797054.6965,11530746234.4492,13691869264.0794
GDP (current US$),NY.GDP.MKTP.CD,Monaco,MCO,6088689808.38347,5742749294.00852,6555591709.88585,7070017323.65476,6264756528.37691,6471290793.55029,6430254652.58934,7184333936.01355,7383496254.23721,6730736282.78961,8623242743.29564
GDP (current US$),NY.GDP.MKTP.CD,Mongolia,MNG,10409797377.8571,12292770631.565,12582122604.2577,12226514668.0622,11619892590.6941,11181350649.3573,11480847740.736,13178094720.4986,14206359017.5143,13312981429.0891,15286441737.6686
GDP (current US$),NY.GDP.MKTP.CD,Montenegro,MNE,4544428421.49513,4087526241.81268,4465772400.37453,4593853290.963,4054730077.57718,4376930578.32395,4856599480.79882,5506942238.35668,5542054181.12616,4769996866.00758,5861427505.12493
GDP (current US$),NY.GDP.MKTP.CD,Morocco,MAR,110080631332.375,106937392311.129,115739287305.08,119130841411.664,110413823841.592,111572947004.917,118540573367.844,127341147581.818,128920266409.458,121353645057.144,142022058447.231
