country,year,gdp_pc_usd,manufacturing_pct_gdp,resource_rents_pct_gdp,tertiary_enrolment_pct,gii_score,population_density,age1564_pct,log_gdp
ARE,2021,415178792769.884,10.0017515004787,43360.0211014806,56.16123580932615,43.0,134.823317375387,81.87240475274,26.751975090349784
ARG,2011,530158122010.442,15.8506983942663,12704.2831819684,77.4296112060547,35.36,15.2485886234831,63.9901889403356,26.99644114241296
ARG,2012,545982375701.128,15.2168009115954,12949.717486654,78.4559097290039,34.4,15.4061004351973,64.0423079024418,27.025852533234676
ARG,2013,552025140252.246,15.0110542553443,12963.675773326,78.7686614990234,37.66,15.5598387102668,64.0825562537135,27.03685942612164
ARG,2014,526319673731.638,14.7727785491821,12233.1444119186,81.1694107055664,35.13,15.7212073709481,64.0920281103568,26.989174609819035
ARG,2015,594749285413.212,14.1815854549835,13679.6264980954,83.762580871582,34.3,15.8867142423877,64.0810849650845,27.11140578463773
ARG,2016,557532320662.955,13.4880259708051,12699.9623137756,86.6178817749023,30.24,16.0413905118958,64.0835958950498,27.04678631288357
ARG,2017,643628393281.364,12.8351683415363,14532.5009308511,89.2329406738281,32.0,16.1833799224611,64.1137437299744,27.190387367439218
ARG,2018,524819892360.176,14.0601434041581,11752.7998922979,90.9728317260742,30.65,16.3171137395905,64.1630568429568,26.986320978507653
ARG,2019,447754683615.225,13.5408390702829,9955.97478680428,95.0775527954102,31.95,16.4335255363231,64.2701694847154,26.827511338168033
ARG,2020,385740508436.965,14.5905295089183,8535.59938004389,99.266227722168,28.33,16.5133665121004,64.5074745533578,26.67843072240923
ARG,2021,486564085480.036,15.558416982668,10738.0179223384,107.130661010742,29.8,16.5573305708721,64.8426321239199,26.91063445750257
ARM,2011,10142111824.5835,10.5255597198362,3349.55309771906,47.8231010437012,33.0,106.354056902002,69.9991499247162,23.039962080149156
ARM,2012,10619320682.9474,9.42475853227752,3511.56399687426,41.4842185974121,34.5,106.220583069898,69.877939557455,23.085940884890142
ARM,2013,11121464437.0415,9.68257531952384,3680.16692158886,41.6240310668945,37.59,106.146821215314,69.6400159040937,23.13214281107651
ARM,2014,11609513246.7958,9.66640553649803,3852.11800610384,44.411018371582,36.06,105.858798735511,69.3383433330299,23.175090706436734
ARM,2015,10553337518.414,9.20617105938632,3512.39350276709,45.4674301147461,37.31,105.535651563049,68.961951131008,23.079707999295902
ARM,2016,10546136235.5219,10.2846499812967,3524.42476874707,51.7460098266602,35.14,105.103617843344,68.5339571072627,23.079025396188765
ARM,2017,11527458709.0158,10.631126108104,3869.05373867752,53.5907592773438,35.65,104.650509308044,68.1111272919884,23.167997740083898
ARM,2018,12457940694.7395,11.2719184358436,4196.00562301769,56.1650505065918,32.81,104.285212504391,67.836738214504,23.245624063351197
ARM,2019,13619290539.2116,11.7114918602964,4597.22887399548,53.3068199157715,33.98,104.056902002107,67.6540902691366,23.334753046679026
ARM,2020,12641698583.2152,12.344909801717,4268.68093304583,53.3061294555664,32.64,104.021777309449,67.4875319646095,23.26026659822021
ARM,2021,13878908628.9378,11.0315905634186,4685.17997128509,58.7563095092773,31.4,104.049877063576,67.3509680096337,23.35363615989458
AUS,2011,1398610616772.97,7.36479765734101,62605.600458306,112.18066297258643,49.85,2.90798641031983,67.2186509873875,27.96650044318763
AUS,2012,1547532281116.4,7.0463332040636,68072.8732340801,112.18066297258643,51.9,2.95920036968095,66.9662425056812,28.06768270145974
AUS,2013,1577123329410.88,6.60397548643017,68190.7010035651,112.18066297258643,53.07,3.01057352615753,66.700299430582,28.086623625931413
AUS,2014,1468265356427.76,6.36290253499428,62544.0873773726,112.18066297258643,55.01,3.05581479504836,66.4491289382527,28.015102790295032
AUS,2015,1351296372254.31,6.29227941742372,56739.0265346593,119.679389953613,55.22,3.10011259648803,66.1974159681463,27.93208552335302
AUS,2016,1206836962281.84,6.07824048774544,49888.0410842736,119.682777404785,53.07,3.14493553058884,65.9615614705209,27.819023972103214
AUS,2017,1325582658156.54,5.79305950257587,53901.7145392154,109.993309020996,51.83,3.19715601363491,65.7711179415292,27.91287322071349
AUS,2018,1427809041019.44,5.76468001596052,57196.4220783778,103.322090148926,51.98,3.24534491589985,65.5972081360588,27.98716224612768
AUS,2019,1392723834562.64,5.58629582518324,54972.7017885437,109.759559631348,50.34,3.29365056253104,65.3937724215717,27.96228253878351
AUS,2020,1328414058378.38,5.60852173149521,51791.540179984,110.139221191406,48.35,3.33452695130798,65.1015714818381,27.91500690933367
AUS,2021,1556735770437.26,5.51269475535305,60607.7788605166,112.688293457031,48.3,3.33922844714392,64.8273784315574,28.073612290099792
AUT,2011,428954737064.057,17.1446473129533,51116.8953522042,77.2625122070312,50.75,101.692232186137,67.6180439804748,26.784617242298875
AUT,2012,406750487603.59,17.2564830895639,48250.4059142637,79.5471267700195,53.1,102.156943771207,67.5601644337772,26.731465781824408
AUT,2013,426580502769.417,17.1063898788247,50305.3545774973,80.9616012573242,51.87,102.760821619001,67.4266821192924,26.77906693816382
AUT,2014,438556021078.034,17.1867790689422,51314.9722616322,81.0195693969727,53.41,103.567086766844,67.3108310981136,26.806753396762797
AUT,2015,379546097300.633,17.242928730216,43915.228020857,82.2563095092773,54.07,104.734597673291,67.234719049435,26.66224189491826
AUT,2016,393687359770.273,17.6682251530651,45061.4993920192,82.8496932983398,52.65,105.873339796413,67.1339749165576,26.698822928132966
AUT,2017,414926138132.691,17.4427051605451,47163.7425775142,83.8392562866211,53.1,106.61131846825,66.974326831199,26.751366360933563
AUT,2018,452582294972.775,17.3211161045372,51194.0749841299,85.8698883056641,51.32,107.131858943286,66.8074529749847,26.83823545089368
AUT,2019,442983642371.842,17.1022858668807,49885.9947355204,86.3234329223633,50.94,107.609306834707,66.6368554183168,26.816798681641288
AUT,2020,434397601557.696,16.5973264696294,48716.4098900349,88.7071990966797,50.13,108.057004362579,66.4370522356064,26.79722608427487
AUT,2021,480467037338.783,16.9780965394204,53648.7190742245,93.940071105957,50.9,108.528805138148,66.1764816581673,26.89802446225187
AZE,2011,65952796427.9473,3.98832610114819,7189.81869211976,19.647310256958,29.17,110.976336228798,72.0939429460413,24.91220511745411
AZE,2012,69679944504.1972,4.24121862424352,7495.86527658099,20.4384593963623,30.4,112.460790244138,72.0406993018106,24.9671783730523
AZE,2013,74160560123.6902,4.21573682582242,7875.34536661549,21.4404296875,28.99,113.923480806688,71.6592530898028,25.02949831108393
AZE,2014,75239785452.1022,4.70701069744349,7890.84028062087,23.1597309112549,29.6,115.348813858679,71.2018299395149,25.04394598986138
AZE,2015,53076235354.746,4.99062155204119,5500.50364628486,25.4832000732422,30.1,116.731076781631,70.7521032313631,24.69499511990774
AZE,2016,37866996882.9157,4.89266067799527,3880.6852276838,27.2368602752686,29.64,118.033288980283,70.2891585164324,24.357345775026864
AZE,2017,40866627351.9817,4.69946458376577,4147.1981423222,28.4670600891113,30.58,119.208741622511,69.9448498293551,24.433579609756663
AZE,2018,47112470051.7701,4.61981221595166,4739.7943123408,28.9724903106689,30.2,120.25759188908,69.8692138262529,24.575803559864646
AZE,2019,48174235294.1176,5.00365096304835,4805.75371765917,32.9221801757812,30.21,121.280071139933,69.825581884135,24.598090177620442
AZE,2020,42693000000.0,6.10156507265966,4229.91064904503,36.3854713439941,27.23,122.124736829369,69.7266672756005,24.477300809316045
AZE,2021,54825411764.7059,6.41909290668132,5408.04535175023,39.0096015930176,28.4,122.658802177858,69.708000115884,24.72741964175031
BDI,2012,2333341334.45753,8.83056773934016,231.688496393569,3.84211850166321,20.5,392.173987538941,52.0409461695939,21.57056712638096
BDI,2014,2705783329.80483,10.1242098337419,250.540481111877,3.86162900924683,22.43,420.552375389408,51.3816362371271,21.718657293202746
BDI,2015,3104003546.26497,8.67655378836353,280.966831311923,5.39195775985718,21.04,430.201713395639,50.7329704786026,21.855958581749
BDI,2016,2644487776.50077,9.36171645020186,235.286205393908,4.09006786346436,20.93,437.673325545171,50.0141465984415,21.69574322622509
BDI,2017,2723586962.84034,9.248261952911863,236.694472592753,4.43720865249634,21.31,448.082632398754,49.7345082830426,21.725215584823612
BDI,2019,2576518879.82353,9.248261952911863,210.236494521532,4.20048999786377,17.65,477.232710280374,50.2513129688442,21.669705053407444
BEL,2011,527196649048.639,12.9499394580106,47760.8298776546,67.7034072875977,49.05,363.902812118814,65.771386607117,26.99083946398522
BEL,2012,498414364944.961,12.6215764552248,44874.1709182123,69.7490615844727,54.3,366.166617215574,65.5288562215249,26.934697626125015
BEL,2013,524097026598.55,12.6643780300003,46964.5946777056,71.7841110229492,52.49,367.896581281113,65.2910824069226,26.98494266939089
BEL,2014,537987419164.351,12.5837894914118,47995.7786961339,74.0397262573242,51.69,369.533412455082,65.0395058250497,27.011101012381896
BEL,2015,461044767544.531,12.5677314710087,40893.804537772,76.423942565918,50.91,371.680875614018,64.8430252778753,26.85676098486929
BEL,2016,474271566739.729,12.2484083375363,41854.5498296444,77.2435073852539,51.97,373.567467774371,64.6607620134318,26.885045920193512
BEL,2017,500908767351.53,12.4458285747277,44035.3239358548,80.7738189697266,49.85,375.009329772855,64.4426328280277,26.939689820354108
BEL,2018,542638913427.921,12.343919956787,47487.2100392561,79.1237487792969,50.5,374.74351490506,64.2447525310394,27.019709951201133
BEL,2019,536726344405.489,12.413251241175,46716.6227467964,79.3044815063477,50.18,376.761985964452,64.0794211416653,27.008754200830033
BEL,2020,529694473501.791,12.0120090332978,45906.2875805246,79.4996032714844,49.13,378.38932248967,63.9755896544114,26.995566212181735
BEL,2021,598494036474.409,10.7453176059912,51655.7883303715,82.6882019042969,49.2,379.949990161999,63.8651840723626,27.11768239777518
BEN,2011,10693321370.036,11.7335701368448,1059.41358915783,12.2822198867798,23.81,89.5142160340546,53.1738379185632,23.09288521251377
BEN,2012,11141358105.9853,10.7121556949179,1071.52583567484,13.3533802032471,24.4,92.2105090457609,53.2872357685967,23.13392997658082
BEN,2013,12517845127.6775,10.9217698965752,1168.92699314206,15.3102397918701,25.1,94.9701489890032,53.3802257734234,23.250421073402226
BEN,2014,13284527850.2632,10.3866281769808,1204.39918700511,15.196590423584,24.21,97.8184107839659,53.4710165776466,23.309865875463636
BEN,2016,11821065852.1271,9.93126564010032,1010.53389609187,12.3617095947266,22.25,103.741060659808,53.6566169066319,23.193149018473783
BEN,2017,12701655845.9612,9.62006825024772,1054.97408141687,11.7388401031494,23.04,106.773501241575,53.7641385473821,23.264998203483767
BEN,2018,14262408079.7014,9.16246199522064,1151.74096952152,12.0070600509644,20.61,109.820388435615,53.9063205647746,23.380893107219983
BEN,2019,14391686309.033,9.86572844000364,1130.82135304977,10.7973299026489,20.42,112.865865555161,54.0897463650396,23.38991653715317
BEN,2020,15651545208.8783,9.68791310326743,1197.50136428063,10.8024797439575,18.13,115.911395885066,54.3068570880759,23.47383548445014
