country,manufacturing_pct_gdp,resource_rents_pct_gdp,tertiary_enrolment_pct,gii_score,population_density,age1564_pct,cluster_label
AGO,5.243872307275206,4057.91045841767,8.90008020401001,22.136000000000003,22.6508398171172,52.13154096488502,2
ALB,5.985396723668331,4808.576341745822,59.53881662542169,29.599090909090908,104.81133045786336,68.14225886332135,0
ARE,8.931434351593829,45809.604484427065,56.16123580932615,42.154545454545456,121.19593712398564,81.75428218177446,1
ARG,14.464185531249116,12067.75477982487,87.98947906494139,32.71090909090909,15.988050561411455,64.20625807290058,0
ARM,10.5255597198362,3913.3063121656173,49.78917069868608,34.552727272727275,105.1167097742441,68.61743751885797,0
AUS,6.183070965324192,58773.680648990376,112.18066297258643,51.72,3.1444118289819305,66.01675888301143,1
AUT,17.186089397688907,49143.02697999068,83.87060546874999,52.02181818181818,105.33848323271482,67.02878042872044,1
AZE,4.898105474618259,5742.160060274837,27.560254010287192,29.50181818181818,117.54579368717891,70.64648181419933,0
BDI,9.248261952911863,240.90216355426034,4.3039119640986145,20.643333333333334,434.3194574247145,50.69258678927532,2
BEL,12.326922695924653,46013.17828817511,76.21214641224256,50.842727272727274,372.5092645230007,64.70383623449344,1
BEN,10.150132916075464,1136.867224777533,12.40813598632813,21.997,104.25809506917335,53.75900960797353,2
BFA,10.63077696502492,749.7425747156714,5.852116368033666,23.39,70.65390350877193,52.36354436173588,2
BGD,18.72923723715821,1569.203421220778,17.68316069516269,23.66090909090909,1234.7018521234463,63.94575656185237,0
BHR,16.848789277625574,25664.240549268263,49.3732251253995,34.46454545454546,1780.732786146689,77.29789443691348,0
BIH,11.88128570699971,5495.34873209758,44.61999685114082,31.541818181818186,67.97694247159092,67.81535404040764,0
BLR,21.743408878028127,6731.536932105255,89.95525588989254,32.851,46.44691717992415,68.84444248872836,0
BRA,10.7966907938666,10171.131697199895,49.67403907775881,34.691818181818185,24.277859319287426,69.51566181824897,0
BRN,3.127392295746288,36184.59942100208,28.395074632432724,32.43666666666667,81.07284419144,72.24981247641432,0
BWA,6.790197179889476,6943.545012039368,23.08203105926514,28.84181818181818,3.945799587104972,62.56187150076593,2
CAN,9.675939603394445,48041.61619882349,69.24228182705966,54.842727272727274,4.052436441846942,67.4578227356638,1
CHE,17.792552813558245,86294.51874573252,61.57397981123492,66.62545454545455,211.05400549162184,66.99910495589239,1
CHL,9.545721613365124,14672.071801076845,85.7472083351829,38.58727272727273,24.723976298874224,68.85289495254955,0
CHN,28.930806799649417,8597.709204421411,47.491887352683314,49.96363636363637,147.49790403627537,71.06939552641872,0
CIV,11.627974703442653,1951.9143003645681,8.575383398267958,23.79909090909091,82.07482389937107,55.15328996339784,2
CMR,14.123413020666128,1539.5540557666818,14.626930150118737,24.164545454545454,49.67279035195516,54.07664700389334,2
COL,11.94120545433082,6865.055942653005,54.09573156183414,34.124545454545455,43.17928526363225,68.68420358892372,0
CPV,5.107469741011554,3774.4632790947376,21.2151228586833,27.586000000000002,127.45771712158799,65.72442633943695,2
CRI,12.613257411895255,11631.64205400946,50.74224938286677,36.99909090909091,95.0876419898159,68.62263284021141,0
CYP,4.7089892961689,28464.114701704544,68.68582049283116,46.79272727272728,133.66232782369144,71.20395362865041,1
CZE,22.214257118038635,21718.075077282418,67.32616771351208,49.345454545454544,136.88282182307518,66.12347066750607,0
DEU,19.766526960761347,46828.73218704797,68.96166102091473,56.944545454545455,234.72963955950073,65.30090865704337,1
DNK,12.384686161779571,60064.59611823128,81.06229816783558,58.11181818181819,142.93913409090908,64.27385344842445,1
DOM,14.48476348701658,7191.568343372208,55.31930274963379,29.688,219.6594409865445,65.18012490372186,0
DZA,7.771544271934347,4967.157690067432,44.07829562100498,22.900909090909092,17.150598807180344,65.24314968605906,0
ECU,13.255210259799746,5952.582708863242,45.84394200642905,27.597272727272728,66.57844294938432,64.69908137812655,0
EGY,16.332064365970545,3045.8638144362762,31.6285071902805,27.313636363636363,101.87824044858648,61.830570989871106,0
ESP,10.959355243794299,28971.7906336225,88.71274011785334,47.66272727272727,93.64812796576575,66.62353600498817,1
EST,13.480285309338319,21071.19415553418,73.21227472478694,50.97727272727273,30.783433006989274,64.8499514833211,1
ETH,4.658207128492782,653.7796380585221,7.50477345784505,23.032,94.4163774442576,54.50198417505878,2
FIN,14.920491439320136,48219.42351334563,92.7337105490945,59.33818181818182,18.03552343504529,63.29552179915861,1
FRA,9.966277693224912,40704.1657958383,63.84519958496094,53.194545454545455,121.77780976559201,62.80794779731154,1
GBR,9.139232354013556,43178.14016697858,61.721683848987915,60.6390909090909,270.5066694723868,64.25964486535618,1
GEO,9.13179286283446,4524.661653182878,55.14658563787287,34.050000000000004,65.1801195410489,65.89434847648839,0
GHA,9.873140625797392,1995.861899042196,15.07889375686646,27.201,128.5999466381785,58.39596764759627,2
GIN,10.934769898589972,896.6439645145792,8.241201877593998,19.257777777777775,50.514303543328445,53.67077432171857,2
GRC,8.12659893219673,20223.57854110658,129.3694717407226,37.81272727272727,83.98429861062135,64.31446586455716,1
GTM,15.030561595014955,4011.2777647779817,18.55861740112305,27.364545454545453,151.56957989751945,59.834847043714944,2
GUY,6.07307668467119,5412.32706936493,11.39198493957515,33.224000000000004,3.815567183134366,64.13111857270079,2
HKG,1.165124655087022,43245.053449791085,74.57571272416548,56.24090909090909,6970.199134199135,72.28867914882125,1
HND,17.011069329327007,2314.726675385566,22.01495628356935,26.05454545454546,84.14452587362588,62.02531870621665,2
HRV,12.635467718047801,14469.071356532018,69.61639161543414,39.480909090909094,73.1126146907916,65.50973666625167,0
HUN,18.54435369721062,14888.189974307736,54.04894638061523,44.480909090909094,107.92697931879329,67.0081917696895,0
IDN,20.514638263911426,3721.523764407344,34.13690705732865,29.246363636363636,140.5378361836208,67.05023717500757,0
IND,14.988548742394402,1750.6784114271736,27.326761939308867,34.96909090909091,451.3102798065989,65.91220962629426,0
IRL,28.316763432716684,69999.16670266417,74.5453872680664,56.42818181818182,69.34118291347207,65.72314256543096,1
IRN,16.15175263504707,5454.918198491172,60.86118594082918,30.162727272727274,51.469927807674566,70.0902533782862,0
ISL,10.222967496753286,59663.22948169162,76.45569610595703,53.98363636363637,3.3955540131845607,66.47794622022293,1
ISR,12.330880938418927,40074.40926466394,59.890955144708784,54.75818181818182,395.3713661569484,60.62963105036087,1
ITA,14.438418340131829,34286.943409842796,63.95693865689362,45.75272727272727,203.0683135299855,64.30717680929985,1
JAM,7.924544854451269,5203.174908682244,26.164855480194095,30.322727272727274,258.96383782422555,70.46756958756049,0
JOR,18.172246040983918,4112.2676056019,33.67277272542318,32.71363636363637,107.20784007983639,62.222552469360224,0
JPN,20.09683754244279,40974.17824544309,62.59128824869792,53.33636363636364,348.3622878164358,60.25687844104116,1
KAZ,11.416597314118373,10320.146031328712,54.08342118696733,31.05181818181818,6.809261534109851,65.14133714854034,0
KEN,9.401555565295734,1611.9506093374673,10.8641676902771,29.773636363636363,84.49070016324471,56.17178535962126,2
KGZ,14.29180257271779,1230.5060401554283,43.95135914195668,27.13272727272727,32.23804981514835,63.20895909979175,0
KHM,22.917923398847066,1689.051910363241,14.960827691214416,26.224545454545456,89.73470943287394,63.45253438344385,0
KOR,26.63037970119766,29891.29295837883,95.97784285111862,55.98727272727273,524.0596323820113,72.82900529069515,1
KWT,7.146764704480128,36786.69667661624,55.438489437103264,34.47636363636364,220.20246913580252,75.80362582072256,0
LBN,6.689476364967095,7643.662044188138,46.6982314369895,31.583636363636366,573.865440327024,65.83418554518363,0
LKA,16.918751552662982,3924.0915963528255,18.445032206448637,28.585454545454546,343.2137779460687,66.3151407563405,0
LTU,16.971543971055983,17311.35635754688,71.80219823663884,41.07272727272727,46.0009327794688,66.03554418097838,0
