,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
Intercept,25.40065001566861,0.12608015858328916,201.46429304249978,0.0,25.153537445680264,25.647762585656956
manufacturing_pct_gdp,0.4638635730419721,0.14410478628889073,3.218932451778891,0.001286687913519481,0.1814233819159049,0.7463037641680393
resource_rents_pct_gdp,0.24194039661468103,0.2137198847909861,1.1320443900261974,0.2576157724723902,-0.17694288035570138,0.6608236735850634
tertiary_enrolment_pct,0.34853714944195396,0.1546536971994911,2.25366192825231,0.02421744419070038,0.045421472854988376,0.6516528260289196
gii_score,0.5355476566569201,0.25867523024805494,2.0703476561840115,0.03841979981003207,0.028553521678126415,1.0425417916357138
population_density,-0.07911796798595919,0.09954659318579455,-0.7947832814156963,0.4267395777799339,-0.2742257054137769,0.11598976944185849
age1564_pct,0.04986215993339521,0.12566413642481117,0.39678910269859946,0.691522987287146,-0.19643502160756263,0.2961593414743531
