Series Name,Series Code,Country Name,Country Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Afghanistan,AFG,3.75560998916626,..,..,8.31087017059326,..,..,..,9.96378993988037,..,10.8584403991699,..
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Albania,ALB,49.3997001647949,58.6214218139648,63.8440589904785,65.5507125854492,61.9608497619629,58.4884796142578,58.0177803039551,56.0802993774414,61.4085083007812,61.5853004455566,59.9698715209961
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Algeria,DZA,32.6073913574219,33.7081413269043,35.4959411621094,36.0622482299805,38.3309783935547,44.1052894592285,49.3779106140137,53.1637001037598,54.1856307983398,53.6140289306641,54.2099914550781
"School enrollment, tertiary (% gross)",SE.TER.ENRR,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Andorra,AND,..,13.2810401916504,14.7599496841431,13.7001399993896,13.8819599151611,15.1089096069336,15.4369401931763,15.3940296173096,15,15.0982704162598,15.204270362854
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Angola,AGO,6.3326301574707,..,9.11637020111084,..,8.68379020690918,9.66034030914307,9.65568923950195,9.35254287719727,11.0613594055176,..,..
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Antigua and Barbuda,ATG,15.0042104721069,24.93044090271,..,..,..,..,..,..,..,..,..
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Argentina,ARG,77.4296112060547,78.4559097290039,78.7686614990234,81.1694107055664,83.762580871582,86.6178817749023,89.2329406738281,90.9728317260742,95.0775527954102,99.266227722168,107.130661010742
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Armenia,ARM,47.8231010437012,41.4842185974121,41.6240310668945,44.411018371582,45.4674301147461,51.7460098266602,53.5907592773438,56.1650505065918,53.3068199157715,53.3061294555664,58.7563095092773
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Aruba,ABW,37.1292991638184,38.0075416564941,16.9757099151611,17.7213401794434,16.781810760498,17.5637798309326,..,..,..,..,..
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Australia,AUS,..,..,..,..,119.679389953613,119.682777404785,109.993309020996,103.322090148926,109.759559631348,110.139221191406,112.688293457031
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Austria,AUT,77.2625122070312,79.5471267700195,80.9616012573242,81.0195693969727,82.2563095092773,82.8496932983398,83.8392562866211,85.8698883056641,86.3234329223633,88.7071990966797,93.940071105957
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Azerbaijan,AZE,19.647310256958,20.4384593963623,21.4404296875,23.1597309112549,25.4832000732422,27.2368602752686,28.4670600891113,28.9724903106689,32.9221801757812,36.3854713439941,39.0096015930176
"School enrollment, tertiary (% gross)",SE.TER.ENRR,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Bahrain,BHR,46.54248046875,47.3633117675781,42.9303894042969,44.1516189575195,43.6383781433105,43.6653099060059,45.1864395141602,48.5386581420898,53.6918601989746,56.6339988708496,70.7630310058594
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Bangladesh,BGD,13.5724172592163,13.667537689209,13.6510944366455,13.6534414291382,15.5907163619995,17.4021797180176,18.5305080413818,19.70263671875,22.8052139282227,22.538854598999,23.40016746521
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Barbados,BRB,65.0382232666016,..,..,..,..,..,..,..,..,..,..
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Belarus,BLR,91.2559967041016,98.5973968505859,101.424392700195,99.8547286987305,98.0328598022461,94.7553405761719,91.3261489868164,84.5396423339844,80.1720199584961,76.8908920288086,73.9591369628906
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Belgium,BEL,67.7034072875977,69.7490615844727,71.7841110229492,74.0397262573242,76.423942565918,77.2435073852539,80.7738189697266,79.1237487792969,79.3044815063477,79.4996032714844,82.6882019042969
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Belize,BLZ,21.4217891693115,23.8754291534424,23.8531093597412,23.8641395568848,23.273889541626,24.3196296691895,24.7719898223877,24.6455898284912,25.0688591003418,25.7016506195068,23.5184001922607
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Benin,BEN,12.2822198867798,13.3533802032471,15.3102397918701,15.196590423584,12.9073896408081,12.3617095947266,11.7388401031494,12.0070600509644,10.7973299026489,10.8024797439575,10.2315101623535
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Bermuda,BMU,38.6973190307617,38.2749290466309,37.1384582519531,35.0966110229492,31.9435291290283,..,22.4178009033203,22.8644790649414,..,..,..
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Bhutan,BTN,7.69609975814819,7.59584522247314,10.3402395248413,..,..,..,14.7713375091553,14.8788833618164,15.9078016281128,16.850284576416,17.706148147583
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Bolivia,BOL,..,..,..,..,..,..,..,..,..,..,..
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Bosnia and Herzegovina,BIH,39.7756309509277,41.8755912780762,47.2628288269043,48.9852485656738,48.6234397888184,48.668140411377,46.4159202575684,43.1571083068848,41.597038269043,40.8813400268555,43.5776786804199
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Botswana,BWA,16.9406700134277,20.8391494750977,25.6314506530762,24.6215991973877,27.1673908233643,23.2882499694824,22.4400691986084,..,22.9742908477783,24.0127906799316,22.9046497344971
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Brazil,BRA,..,43.2308502197266,44.3393707275391,47.1568717956543,48.4340400695801,48.3333396911621,50.0267486572266,51.1916885375977,52.6240615844727,54.5727996826172,56.8306198120117
"School enrollment, tertiary (% gross)",SE.TER.ENRR,British Virgin Islands,VGB,..,..,..,..,43.1178283691406,42.3565292358398,..,17.1175594329834,26.0911293029785,32.4414710998535,32.7071304321289
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Brunei Darussalam,BRN,17.1019992828369,22.1413593292236,24.0158290863037,31.5348491668701,30.813289642334,31.5120601654053,34.9116706848145,31.5352935791016,31.3982181549072,32.6983299255371,30.2181224822998
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Bulgaria,BGR,59.8246803283691,62.1616516113281,68.2013397216797,72.981559753418,78.2999572753906,80.6399612426758,81.2245864868164,83.134880065918,84.7503128051758,85.5331115722656,85.3017501831055
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Burkina Faso,BFA,3.94350004196167,4.3672399520874,4.60237979888916,4.92263984680176,4.9262900352478,5.42630004882812,5.85665988922119,6.34666013717651,6.93696022033691,7.6837100982666,9.36093997955322
"School enrollment, tertiary (% gross)",SE.TER.ENRR,Burundi,BDI,..,3.84211850166321,4.62864255905151,3.86162900924683,5.39195775985718,4.09006786346436,4.43720865249634,4.69854831695557,4.20048999786377,5.22371053695679,6.28677225112915
