country,year,gdp_pc_usd,manufacturing_pct_gdp,resource_rents_pct_gdp,tertiary_enrolment_pct,gii_score,population_density,age1564_pct
AGO,2011,111789747670.59,4.16780473313727,4615.91059831778,6.3326301574707,,19.4259661506377,52.1221809832928
AGO,2012,128052915766.343,4.40328953329052,5086.02740086376,,22.2,20.1952306088073,52.110643381122
AGO,2013,132339109040.232,4.82734265180973,5057.74787833163,9.11637020111084,23.46,20.9879040667362,52.0969806945144
AGO,2014,135966802586.713,4.76307157240238,5005.9997412707,,23.82,21.7861305847437,52.0696201188262
AGO,2015,90496420506.5957,5.68514480307257,3213.90261080059,8.68379020690918,26.2,22.5858650838213,52.0344151201028
AGO,2016,52761617225.9253,6.75268074236392,1807.95294072643,9.66034030914307,,23.4082537900056,52.0323838444687
AGO,2017,73690154990.7312,6.58054965735374,2437.25971190821,9.65568923950195,,24.2518962059838,52.0639319428822
AGO,2018,79450688259.3664,6.05946923337998,2538.59139143371,9.35254287719727,,25.1039985561883,52.10972051613
AGO,2019,70897962732.0277,6.13744698434697,2189.85571407618,11.0613594055176,,25.969063928772,52.1792554940819
AGO,2020,48501561203.5686,7.06304272536463,1449.92286669308,,,26.8317413972888,52.2548406993395
AGO,2021,66505129987.7235,6.54051297580083,1925.87466082167,,15,27.6990687414775,52.3460455098597
ALB,2011,12890760315.146,5.66189767373199,4437.14116097061,49.3997001647949,30.45,106.02901459854,67.8454159774467
ALB,2012,12319834195.331,4.61445771380938,4247.63134315945,58.6214218139648,30.4,105.854051094891,68.198600414295
ALB,2013,12776224496.9718,5.05980135594677,4413.06338346821,63.8440589904785,30.85,105.660291970803,68.3856722403311
ALB,2014,13228147516.1168,5.32578898520395,4578.63320812155,65.5507125854492,30.47,105.441751824818,68.4466928018412
ALB,2015,11386853113.0189,5.67151941669391,3952.80357364813,61.9608497619629,30.74,105.135145985401,68.4632957891861
ALB,2016,11861199830.8396,5.68442741798015,4124.05538986272,58.4884796142578,28.38,104.967189781022,68.473513186339
ALB,2017,13019726211.7369,6.15816688393972,4531.03220675893,58.0177803039551,28.86,104.870693430657,68.411252681582
ALB,2018,15379509891.7196,6.70811438467001,5365.48934672897,56.0802993774414,29.98,104.612262773723,68.2552118334715
ALB,2019,15585105131.0644,6.96748875847972,5460.42823730592,61.4085083007812,30.34,104.167554744526,68.0076096803147
ALB,2020,15241458744.8688,7.06941246497269,5370.77862312929,61.5853004455566,27.12,103.571131386861,67.7110196944345
ALB,2021,18032010563.7558,6.91828890492335,6413.28328605026,59.9698715209961,28,102.615547445255,67.3665631972931
ARE,2011,360832739558.385,8.14829315970101,50789.0505418347,,41.99,100.035736412278,81.7491567206735
ARE,2012,384610125384.033,8.08503637670565,52034.4762466073,,44.4,104.075584342439,81.7319747580354
ARE,2013,400218529747.597,7.92574426833549,52023.5170958751,,41.87,108.322036046184,81.6884573970865
ARE,2014,414105366758.911,8.11529453740231,51381.4069909213,,43.25,113.481272880879,81.6610900166076
